"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MFP","TOT","AGRWTH","A","1985",-2.949346,
"AUS","MFP","TOT","AGRWTH","A","1986",-0.732196,
"AUS","MFP","TOT","AGRWTH","A","1987",1.598779,
"AUS","MFP","TOT","AGRWTH","A","1988",-0.696244,
"AUS","MFP","TOT","AGRWTH","A","1989",-0.292071,
"AUS","MFP","TOT","AGRWTH","A","1990",-0.246534,
"AUS","MFP","TOT","AGRWTH","A","1991",0.707676,
"AUS","MFP","TOT","AGRWTH","A","1992",2.277549,
"AUS","MFP","TOT","AGRWTH","A","1993",0.374785,
"AUS","MFP","TOT","AGRWTH","A","1994",0.112091,
"AUS","MFP","TOT","AGRWTH","A","1995",2.034393,
"AUS","MFP","TOT","AGRWTH","A","1996",2.366978,
"AUS","MFP","TOT","AGRWTH","A","1997",2.282966,
"AUS","MFP","TOT","AGRWTH","A","1998",2.455333,
"AUS","MFP","TOT","AGRWTH","A","1999",0.401404,
"AUS","MFP","TOT","AGRWTH","A","2000",-0.01992,
"AUS","MFP","TOT","AGRWTH","A","2001",2.370221,
"AUS","MFP","TOT","AGRWTH","A","2002",0.412435,
"AUS","MFP","TOT","AGRWTH","A","2003",1.267578,
"AUS","MFP","TOT","AGRWTH","A","2004",-0.776142,
"AUS","MFP","TOT","AGRWTH","A","2005",-0.503158,
"AUS","MFP","TOT","AGRWTH","A","2006",-0.037404,
"AUS","MFP","TOT","AGRWTH","A","2007",0.217535,
"AUS","MFP","TOT","AGRWTH","A","2008",1.500686,
"AUS","MFP","TOT","AGRWTH","A","2009",-1.572543,
"AUS","MFP","TOT","AGRWTH","A","2010",0.384211,
"AUS","MFP","TOT","AGRWTH","A","2011",0.245781,
"AUS","MFP","TOT","AGRWTH","A","2012",0.816171,
"AUS","MFP","TOT","AGRWTH","A","2013",0.653039,
"AUS","MFP","TOT","AGRWTH","A","2014",-0.031576,
"AUS","MFP","TOT","AGRWTH","A","2015",1.854756,
"AUS","MFP","TOT","AGRWTH","A","2016",-0.163463,
"AUS","MFP","TOT","AGRWTH","A","2017",0.97964,
"AUS","MFP","TOT","AGRWTH","A","2018",-0.017945,
"AUS","MFP","TOT","AGRWTH","A","2019",-0.142304,
"AUT","MFP","TOT","AGRWTH","A","1989",2.267096,
"AUT","MFP","TOT","AGRWTH","A","1990",2.067615,
"AUT","MFP","TOT","AGRWTH","A","1991",1.732464,
"AUT","MFP","TOT","AGRWTH","A","1992",1.160581,
"AUT","MFP","TOT","AGRWTH","A","1993",1.373337,
"AUT","MFP","TOT","AGRWTH","A","1994",2.784615,
"AUT","MFP","TOT","AGRWTH","A","1995",5.509766,
"AUT","MFP","TOT","AGRWTH","A","1996",-0.189928,
"AUT","MFP","TOT","AGRWTH","A","1997",0.273555,
"AUT","MFP","TOT","AGRWTH","A","1998",2.565548,
"AUT","MFP","TOT","AGRWTH","A","1999",1.011342,
"AUT","MFP","TOT","AGRWTH","A","2000",1.319862,
"AUT","MFP","TOT","AGRWTH","A","2001",-0.067763,
"AUT","MFP","TOT","AGRWTH","A","2002",0.63123,
"AUT","MFP","TOT","AGRWTH","A","2003",-0.220321,
"AUT","MFP","TOT","AGRWTH","A","2004",1.214156,
"AUT","MFP","TOT","AGRWTH","A","2005",1.614726,
"AUT","MFP","TOT","AGRWTH","A","2006",2.059129,
"AUT","MFP","TOT","AGRWTH","A","2007",2.017351,
"AUT","MFP","TOT","AGRWTH","A","2008",-0.455013,
"AUT","MFP","TOT","AGRWTH","A","2009",-2.161882,
"AUT","MFP","TOT","AGRWTH","A","2010",0.947748,
"AUT","MFP","TOT","AGRWTH","A","2011",0.697311,
"AUT","MFP","TOT","AGRWTH","A","2012",0.264565,
"AUT","MFP","TOT","AGRWTH","A","2013",-0.280225,
"AUT","MFP","TOT","AGRWTH","A","2014",-0.159222,
"AUT","MFP","TOT","AGRWTH","A","2015",0.622672,
"AUT","MFP","TOT","AGRWTH","A","2016",-0.308628,
"AUT","MFP","TOT","AGRWTH","A","2017",0.875141,
"AUT","MFP","TOT","AGRWTH","A","2018",0.310533,
"AUT","MFP","TOT","AGRWTH","A","2019",-0.18439,
"BEL","MFP","TOT","AGRWTH","A","1985",-0.229086,
"BEL","MFP","TOT","AGRWTH","A","1986",0.844573,
"BEL","MFP","TOT","AGRWTH","A","1987",1.149259,
"BEL","MFP","TOT","AGRWTH","A","1988",2.409961,
"BEL","MFP","TOT","AGRWTH","A","1989",1.189235,
"BEL","MFP","TOT","AGRWTH","A","1990",0.153663,
"BEL","MFP","TOT","AGRWTH","A","1991",1.910555,
"BEL","MFP","TOT","AGRWTH","A","1992",1.417795,
"BEL","MFP","TOT","AGRWTH","A","1993",0.233467,
"BEL","MFP","TOT","AGRWTH","A","1994",2.202996,
"BEL","MFP","TOT","AGRWTH","A","1995",-0.690256,
"BEL","MFP","TOT","AGRWTH","A","1996",-0.238632,
"BEL","MFP","TOT","AGRWTH","A","1997",1.484515,
"BEL","MFP","TOT","AGRWTH","A","1998",-0.392819,
"BEL","MFP","TOT","AGRWTH","A","1999",0.984511,
"BEL","MFP","TOT","AGRWTH","A","2000",-0.037464,
"BEL","MFP","TOT","AGRWTH","A","2001",-1.1154,
"BEL","MFP","TOT","AGRWTH","A","2002",-0.351447,
"BEL","MFP","TOT","AGRWTH","A","2003",-0.229992,
"BEL","MFP","TOT","AGRWTH","A","2004",2.12421,
"BEL","MFP","TOT","AGRWTH","A","2005",0.496264,
"BEL","MFP","TOT","AGRWTH","A","2006",-0.084409,
"BEL","MFP","TOT","AGRWTH","A","2007",1.099225,
"BEL","MFP","TOT","AGRWTH","A","2008",-1.46428,
"BEL","MFP","TOT","AGRWTH","A","2009",-1.877305,
"BEL","MFP","TOT","AGRWTH","A","2010",1.038341,
"BEL","MFP","TOT","AGRWTH","A","2011",-0.918686,
"BEL","MFP","TOT","AGRWTH","A","2012",-0.151343,
"BEL","MFP","TOT","AGRWTH","A","2013",0.169745,
"BEL","MFP","TOT","AGRWTH","A","2014",0.799766,
"BEL","MFP","TOT","AGRWTH","A","2015",0.930078,
"BEL","MFP","TOT","AGRWTH","A","2016",-0.352279,
"BEL","MFP","TOT","AGRWTH","A","2017",-0.487297,
"BEL","MFP","TOT","AGRWTH","A","2018",-0.11536,
"BEL","MFP","TOT","AGRWTH","A","2019",0.025506,
"CAN","MFP","TOT","AGRWTH","A","1985",0.860197,
"CAN","MFP","TOT","AGRWTH","A","1986",-0.967873,
"CAN","MFP","TOT","AGRWTH","A","1987",0.472711,
"CAN","MFP","TOT","AGRWTH","A","1988",0.713296,
"CAN","MFP","TOT","AGRWTH","A","1989",-0.334406,
"CAN","MFP","TOT","AGRWTH","A","1990",-1.05449,
"CAN","MFP","TOT","AGRWTH","A","1991",-0.892991,
"CAN","MFP","TOT","AGRWTH","A","1992",1.029575,
"CAN","MFP","TOT","AGRWTH","A","1993",1.529655,
"CAN","MFP","TOT","AGRWTH","A","1994",1.855089,
"CAN","MFP","TOT","AGRWTH","A","1995",0.824629,
"CAN","MFP","TOT","AGRWTH","A","1996",-0.576666,
"CAN","MFP","TOT","AGRWTH","A","1997",1.391689,
"CAN","MFP","TOT","AGRWTH","A","1998",1.197075,
"CAN","MFP","TOT","AGRWTH","A","1999",1.980339,
"CAN","MFP","TOT","AGRWTH","A","2000",2.392747,
"CAN","MFP","TOT","AGRWTH","A","2001",0.480261,
"CAN","MFP","TOT","AGRWTH","A","2002",1.091324,
"CAN","MFP","TOT","AGRWTH","A","2003",-0.288754,
"CAN","MFP","TOT","AGRWTH","A","2004",0.354179,
"CAN","MFP","TOT","AGRWTH","A","2005",1.199087,
"CAN","MFP","TOT","AGRWTH","A","2006",0.203752,
"CAN","MFP","TOT","AGRWTH","A","2007",-0.668129,
"CAN","MFP","TOT","AGRWTH","A","2008",-1.019256,
"CAN","MFP","TOT","AGRWTH","A","2009",-0.97091,
"CAN","MFP","TOT","AGRWTH","A","2010",0.801636,
"CAN","MFP","TOT","AGRWTH","A","2011",1.237158,
"CAN","MFP","TOT","AGRWTH","A","2012",-0.192821,
"CAN","MFP","TOT","AGRWTH","A","2013",0.848574,
"CAN","MFP","TOT","AGRWTH","A","2014",1.925016,
"CAN","MFP","TOT","AGRWTH","A","2015",-0.527337,
"CAN","MFP","TOT","AGRWTH","A","2016",0.160885,
"CAN","MFP","TOT","AGRWTH","A","2017",1.706978,
"CAN","MFP","TOT","AGRWTH","A","2018",0.476865,
"CAN","MFP","TOT","AGRWTH","A","2019",0.589113,
"DNK","MFP","TOT","AGRWTH","A","1985",1.448915,
"DNK","MFP","TOT","AGRWTH","A","1986",1.227657,
"DNK","MFP","TOT","AGRWTH","A","1987",-0.067698,
"DNK","MFP","TOT","AGRWTH","A","1988",0.114219,
"DNK","MFP","TOT","AGRWTH","A","1989",0.277491,
"DNK","MFP","TOT","AGRWTH","A","1990",1.197679,
"DNK","MFP","TOT","AGRWTH","A","1991",1.013523,
"DNK","MFP","TOT","AGRWTH","A","1992",0.710689,
"DNK","MFP","TOT","AGRWTH","A","1993",0.361409,
"DNK","MFP","TOT","AGRWTH","A","1994",4.763626,
"DNK","MFP","TOT","AGRWTH","A","1995",0.655058,
"DNK","MFP","TOT","AGRWTH","A","1996",1.21424,
"DNK","MFP","TOT","AGRWTH","A","1997",-0.079896,
"DNK","MFP","TOT","AGRWTH","A","1998",-1.009245,
"DNK","MFP","TOT","AGRWTH","A","1999",0.11525,
"DNK","MFP","TOT","AGRWTH","A","2000",1.330472,
"DNK","MFP","TOT","AGRWTH","A","2001",-1.23327,
"DNK","MFP","TOT","AGRWTH","A","2002",-0.408016,
"DNK","MFP","TOT","AGRWTH","A","2003",0.298852,
"DNK","MFP","TOT","AGRWTH","A","2004",1.993973,
"DNK","MFP","TOT","AGRWTH","A","2005",0.696065,
"DNK","MFP","TOT","AGRWTH","A","2006",0.810639,
"DNK","MFP","TOT","AGRWTH","A","2007",-0.685672,
"DNK","MFP","TOT","AGRWTH","A","2008",-2.24219,
"DNK","MFP","TOT","AGRWTH","A","2009",-2.866504,
"DNK","MFP","TOT","AGRWTH","A","2010",2.621928,
"DNK","MFP","TOT","AGRWTH","A","2011",0.268673,
"DNK","MFP","TOT","AGRWTH","A","2012",0.982382,
"DNK","MFP","TOT","AGRWTH","A","2013",0.401348,
"DNK","MFP","TOT","AGRWTH","A","2014",1.125861,
"DNK","MFP","TOT","AGRWTH","A","2015",1.18185,
"DNK","MFP","TOT","AGRWTH","A","2016",1.096554,
"DNK","MFP","TOT","AGRWTH","A","2017",1.478855,
"DNK","MFP","TOT","AGRWTH","A","2018",1.567221,
"DNK","MFP","TOT","AGRWTH","A","2019",1.383557,
"FIN","MFP","TOT","AGRWTH","A","1985",2.27353,
"FIN","MFP","TOT","AGRWTH","A","1986",2.613314,
"FIN","MFP","TOT","AGRWTH","A","1987",1.264511,
"FIN","MFP","TOT","AGRWTH","A","1988",3.368992,
"FIN","MFP","TOT","AGRWTH","A","1989",2.649868,
"FIN","MFP","TOT","AGRWTH","A","1990",0.569235,
"FIN","MFP","TOT","AGRWTH","A","1991",-2.110905,
"FIN","MFP","TOT","AGRWTH","A","1992",0.847176,
"FIN","MFP","TOT","AGRWTH","A","1993",3.131766,
"FIN","MFP","TOT","AGRWTH","A","1994",3.943778,
"FIN","MFP","TOT","AGRWTH","A","1995",1.894509,
"FIN","MFP","TOT","AGRWTH","A","1996",1.934681,
"FIN","MFP","TOT","AGRWTH","A","1997",3.213846,
"FIN","MFP","TOT","AGRWTH","A","1998",3.439632,
"FIN","MFP","TOT","AGRWTH","A","1999",1.91664,
"FIN","MFP","TOT","AGRWTH","A","2000",3.734116,
"FIN","MFP","TOT","AGRWTH","A","2001",1.225384,
"FIN","MFP","TOT","AGRWTH","A","2002",0.539819,
"FIN","MFP","TOT","AGRWTH","A","2003",1.366724,
"FIN","MFP","TOT","AGRWTH","A","2004",2.856865,
"FIN","MFP","TOT","AGRWTH","A","2005",1.44505,
"FIN","MFP","TOT","AGRWTH","A","2006",2.174721,
"FIN","MFP","TOT","AGRWTH","A","2007",2.854598,
"FIN","MFP","TOT","AGRWTH","A","2008",-1.485288,
"FIN","MFP","TOT","AGRWTH","A","2009",-6.121913,
"FIN","MFP","TOT","AGRWTH","A","2010",2.958544,
"FIN","MFP","TOT","AGRWTH","A","2011",1.327895,
"FIN","MFP","TOT","AGRWTH","A","2012",-1.870076,
"FIN","MFP","TOT","AGRWTH","A","2013",-0.156921,
"FIN","MFP","TOT","AGRWTH","A","2014",-0.128427,
"FIN","MFP","TOT","AGRWTH","A","2015",0.616037,
"FIN","MFP","TOT","AGRWTH","A","2016",2.170071,
"FIN","MFP","TOT","AGRWTH","A","2017",2.451941,
"FIN","MFP","TOT","AGRWTH","A","2018",-0.559255,
"FIN","MFP","TOT","AGRWTH","A","2019",-0.039166,
"FRA","MFP","TOT","AGRWTH","A","1985",2.500633,
"FRA","MFP","TOT","AGRWTH","A","1986",1.300588,
"FRA","MFP","TOT","AGRWTH","A","1987",0.396134,
"FRA","MFP","TOT","AGRWTH","A","1988",2.425775,
"FRA","MFP","TOT","AGRWTH","A","1989",2.46192,
"FRA","MFP","TOT","AGRWTH","A","1990",1.203488,
"FRA","MFP","TOT","AGRWTH","A","1991",0.008888,
"FRA","MFP","TOT","AGRWTH","A","1992",1.077727,
"FRA","MFP","TOT","AGRWTH","A","1993",-0.311711,
"FRA","MFP","TOT","AGRWTH","A","1994",1.310426,
"FRA","MFP","TOT","AGRWTH","A","1995",1.565742,
"FRA","MFP","TOT","AGRWTH","A","1996",0.337699,
"FRA","MFP","TOT","AGRWTH","A","1997",0.964785,
"FRA","MFP","TOT","AGRWTH","A","1998",1.726729,
"FRA","MFP","TOT","AGRWTH","A","1999",0.791836,
"FRA","MFP","TOT","AGRWTH","A","2000",1.778101,
"FRA","MFP","TOT","AGRWTH","A","2001",0.74156,
"FRA","MFP","TOT","AGRWTH","A","2002",1.56464,
"FRA","MFP","TOT","AGRWTH","A","2003",-0.1163,
"FRA","MFP","TOT","AGRWTH","A","2004",0.805397,
"FRA","MFP","TOT","AGRWTH","A","2005",0.360297,
"FRA","MFP","TOT","AGRWTH","A","2006",1.693613,
"FRA","MFP","TOT","AGRWTH","A","2007",-0.630568,
"FRA","MFP","TOT","AGRWTH","A","2008",-1.29498,
"FRA","MFP","TOT","AGRWTH","A","2009",-2.001751,
"FRA","MFP","TOT","AGRWTH","A","2010",0.908047,
"FRA","MFP","TOT","AGRWTH","A","2011",0.755023,
"FRA","MFP","TOT","AGRWTH","A","2012",-0.26594,
"FRA","MFP","TOT","AGRWTH","A","2013",0.581438,
"FRA","MFP","TOT","AGRWTH","A","2014",0.418421,
"FRA","MFP","TOT","AGRWTH","A","2015",0.318398,
"FRA","MFP","TOT","AGRWTH","A","2016",-0.110433,
"FRA","MFP","TOT","AGRWTH","A","2017",1.469885,
"FRA","MFP","TOT","AGRWTH","A","2018",0.043905,
"FRA","MFP","TOT","AGRWTH","A","2019",0.092581,
"DEU","MFP","TOT","AGRWTH","A","1985",1.493091,
